KIRA_BLACKWELL_VOICE_V16_NATIVE_EXACT_CONTROL_AUDIT	1
auditor	codex_voice_v16_independent_reviewer
decision	REJECTED_STATIC_NO_EXECUTION_AUTHORITY
seal_bytes	9065
seal_sha256	b02ecdace1727a5ab9e8dba9a580932fe886e9ae05561f5241b1fbbffc21acd4
self_bytes	182784
self_sha256	dc688ea754a9003654f1981f670f20cc3109166326a33233a88a1712a34f80f0
header_bytes	3896
header_sha256	62fdcc185dc11f1c489edf9a59f0c74ed9687377a0d934f91be3bd0315b0387b
sealed_subject_count	41
all_subjects_exact	true
four_v14_blockers_closed	true
v15_manifest_row_failure_closed	false
self_module_replacement_refused	true
class_method_bypass_refused	true
control_state_revalidated	true
config_quarantine_loader_exact	true
production_routing_authorized	false
live_execution_authorized	false
synthesis_authorized	false
playback_authorized	false
latency_run_authorized	false
audit_nonce	1045aac5d1f2ded13c93ea8f9f87b5725ee3c55389accf704f7e550811efd1a0
